idade,genero,uf,regiao,nivel_ens,area_form,situac_de_trab,setor_atuacao,n_func,cargo,nivel,faixa_sal,experiencia,form_trab,sql,r,python,c,dotnet,java,julia,sas_stata,vba,scala,matlab,php,javascript,nao_utiliza_ling,tot_ling
32.0,Masculino,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,Engenheiro de Dados/Data Engineer,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28.0,Feminino,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 101 a 500,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46.0,Feminino,PR,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,Acima de 3000,Técnico,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35.0,Feminino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,de 1001 a 3000,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,Masculino,RS,Sul,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Marketing,de 11 a 50,Engenheiro de Dados/Data Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30.0,Feminino,PR,Sul,Doutorado ou Phd,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Área da Saúde,de 51 a 100,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Finanças ou Bancos,de 501 a 1000,Engenheiro de Dados/Data Engineer,Júnior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,Masculino,RS,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Internet/Ecommerce,de 11 a 50,Engenheiro de Dados/Data Engineer,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 2 a 3 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Outras,Empregado (CLT),Indústria,de 501 a 1000,Analista de Negócios/Business Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Educação,de 51 a 100,Analista de Marketing,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
